,inducted
8741,N
8665,Y
8118,N
3279,N
7766,N
7422,N
5279,N
5303,N
7070,Y
2485,N
1167,N
5583,N
8650,N
5650,N
5808,N
5407,N
2203,Y
7906,N
1181,N
8274,Y
7329,N
1583,N
2901,N
7034,N
1260,N
3966,N
2667,Y
1625,N
2980,N
4107,Y
822,N
890,N
1878,N
4612,Y
3596,N
4008,N
7322,N
6008,N
7164,N
600,N
762,Y
3974,N
9121,Y
7378,N
7899,N
2274,N
1362,N
7372,N
1117,N
5135,Y
4439,N
5993,N
7481,N
5670,N
8985,N
1593,N
8025,N
4132,N
2018,N
770,N
7134,N
1371,N
6049,N
1370,N
2548,N
3018,N
6762,N
3542,N
3151,Y
7828,Y
4712,Y
9190,N
3612,N
3229,Y
8544,N
7969,N
3537,N
1993,N
7399,Y
7095,N
667,Y
7973,N
100,N
5254,N
8425,Y
4646,N
9032,N
212,Y
3495,N
1111,N
6952,Y
8556,N
2183,Y
3411,N
8167,N
5348,N
1641,Y
839,N
1548,Y
94,N
996,N
7929,N
1492,N
9200,N
8811,N
2455,N
2367,N
8146,N
7559,N
4852,N
5049,N
20,N
3308,N
5292,N
2945,N
1535,N
171,N
8738,Y
4571,N
1079,N
7713,N
4691,N
332,Y
2158,Y
2513,N
6595,N
3862,N
6473,N
2830,N
312,Y
5652,N
3020,N
748,N
3466,N
7185,N
3620,N
6810,N
5951,N
3314,N
8783,N
5775,N
2789,N
1061,N
2912,N
1805,Y
5511,Y
4482,N
2750,N
7250,Y
8371,N
5548,N
9000,N
9069,N
8276,N
6062,N
4190,N
1821,N
2949,Y
7926,N
688,N
7135,N
574,Y
5709,N
6620,N
4538,N
7374,N
4742,N
7058,Y
6648,N
826,Y
5762,N
6609,N
6683,N
2589,Y
2717,N
5200,N
2010,N
2745,N
8579,Y
1933,N
2520,Y
2999,N
2705,N
6945,N
2874,N
2993,N
2953,N
7138,N
5209,N
2781,N
8713,N
739,N
5255,N
4333,N
5553,N
156,N
4119,N
8699,N
6714,N
3789,N
7761,N
3367,N
4746,N
4335,Y
9027,Y
5179,N
4970,N
204,N
8587,N
5360,N
1967,N
3696,N
5896,N
8896,N
4087,N
4978,N
1757,N
5438,N
7554,N
1537,N
3905,N
2167,N
3556,N
3382,N
3339,Y
319,N
3884,N
218,Y
4576,N
1353,N
6480,N
1458,N
3950,N
8766,N
3980,N
8488,N
3231,N
6868,N
7346,N
7934,N
2106,N
1608,N
2900,N
4051,Y
3311,N
1403,N
8300,N
5137,N
1035,N
2592,N
8717,N
6649,N
4326,N
7341,N
6718,N
8633,N
146,N
2199,Y
915,Y
7133,N
0,Y
6294,Y
7916,N
5048,N
3579,N
8798,N
703,N
4934,N
8257,N
7426,N
3993,N
1950,N
5314,N
5618,N
3848,Y
320,N
1347,N
8377,N
3384,N
955,N
6004,N
4920,N
6319,N
3420,N
2466,N
8303,Y
861,N
5300,Y
823,N
1224,N
8730,Y
8691,N
3661,N
7912,N
6522,N
3913,N
8976,Y
5982,N
4536,N
8447,N
4144,N
2504,N
3253,N
1834,N
3939,N
407,N
5909,N
5617,N
1463,N
2702,N
2470,N
4005,N
2493,N
8255,N
8224,N
1414,Y
2491,N
3328,N
2062,N
2749,N
4904,N
4534,N
2636,Y
1899,N
7516,N
4971,N
4161,N
7706,N
3840,N
615,N
2682,N
5363,N
8670,N
8961,N
6385,N
5259,N
198,N
7775,N
4354,N
6240,N
1383,N
423,N
4456,Y
2484,N
639,N
4960,N
1396,Y
3232,N
4330,Y
2111,N
3098,N
3203,N
7833,N
1222,N
4999,N
2747,N
8106,N
126,N
