,inducted
7285,N
3264,Y
6587,N
2252,N
755,N
7069,N
4995,N
8369,N
7250,Y
1624,Y
4920,N
3848,Y
1872,N
2366,N
5322,N
3027,N
5097,N
8884,N
5415,N
8665,Y
8209,N
1641,Y
2127,N
3825,N
64,N
5933,Y
4101,N
7908,N
5691,N
5565,N
513,N
5385,N
8997,N
2970,N
1396,Y
419,N
8391,N
2016,N
6032,N
7805,N
7024,Y
1675,Y
1130,N
342,N
970,Y
7389,N
5801,N
5195,N
5336,Y
2092,N
2436,N
6354,N
6861,Y
8554,N
6480,N
2062,N
3980,N
1881,N
3180,N
2535,N
1481,N
4666,Y
3085,N
5778,N
2727,N
8567,N
3050,N
7374,N
6619,N
3624,Y
7672,N
3959,N
7070,Y
7101,Y
7095,N
1400,N
2184,N
6438,N
1809,N
8770,N
7819,N
5354,N
6661,N
6289,N
857,N
809,N
6694,N
3727,N
8017,N
3579,N
7462,N
1858,N
3420,N
5947,N
3341,N
212,Y
1436,N
4234,N
2569,N
6502,N
8550,N
5074,N
8316,Y
4090,N
8561,N
2988,N
3878,N
7071,Y
4838,Y
8080,N
1115,N
1921,N
2098,N
6027,N
6700,N
3767,N
3431,N
601,N
1227,Y
4883,N
8897,N
7650,N
919,Y
4320,Y
6961,N
5355,Y
2652,N
681,N
2224,N
1248,N
4612,Y
2014,N
5942,N
4335,Y
3967,N
2498,N
6586,N
7134,N
9200,N
7887,Y
1117,N
8655,N
4058,Y
7912,N
1645,N
2591,N
8022,N
7625,N
8543,N
4005,N
3263,N
2183,Y
3057,N
3859,N
2901,N
2051,N
4529,N
4571,N
6628,N
5709,N
5772,N
5609,N
5468,N
4734,N
7817,N
6108,N
8812,N
7399,Y
5239,Y
6557,N
4390,N
2168,N
8465,N
1870,N
9091,N
1843,N
7159,N
6478,N
1534,N
5842,N
7920,N
9114,N
667,Y
9196,N
4454,N
2963,N
882,N
5139,N
5711,Y
1414,Y
3256,N
3694,N
5945,Y
5216,N
1787,N
831,Y
3734,N
7550,N
4568,N
1250,N
332,Y
1890,N
6929,N
6251,Y
1020,N
7346,N
3311,N
5727,N
7295,N
2423,N
7481,N
3049,N
3923,N
6294,Y
7630,N
2414,N
384,N
4627,N
8432,Y
1632,N
5129,Y
5788,N
6751,N
4012,N
7422,N
2735,N
275,N
1576,Y
287,Y
4585,N
366,Y
7871,N
2385,N
7168,N
8978,N
144,N
6952,Y
6473,N
1878,N
9167,Y
7204,Y
6159,N
694,N
1807,N
6717,N
4343,Y
6522,N
6765,N
6393,N
6597,N
7723,Y
8074,N
304,N
7702,Y
6950,Y
4456,Y
826,Y
3711,N
5868,N
7711,N
3679,N
3918,N
8252,N
6091,N
6192,N
8729,Y
3894,N
4732,N
6794,N
5779,N
2834,N
2548,N
6139,N
4017,N
8176,N
6075,N
2354,N
1997,N
718,N
4766,N
1048,N
2949,Y
5228,N
4451,N
8585,N
3803,N
4422,Y
8445,N
6299,N
7862,N
4094,N
6200,N
2616,N
6452,N
5496,N
1384,N
1419,N
3521,N
872,N
7299,N
4326,N
2010,N
915,Y
8913,N
5300,Y
3217,N
7544,N
7352,Y
2997,N
574,Y
8602,N
8584,N
255,Y
6540,N
2484,N
9005,Y
2199,Y
861,N
3992,N
5277,N
1458,N
7013,N
5402,N
6909,N
8936,N
2827,N
131,N
1915,N
3012,N
4144,N
4285,Y
4872,N
2353,N
5460,N
5617,N
5011,N
9043,N
5135,Y
8169,N
8579,Y
5360,N
171,N
2715,N
4901,N
2222,N
7052,N
4966,N
5996,N
8264,N
3307,Y
3043,N
911,N
721,N
8823,N
585,N
3973,N
2605,N
4779,N
3324,N
1354,N
4276,N
3094,N
1572,Y
4153,N
4675,N
4210,N
1874,N
336,N
2589,Y
5555,N
2613,N
1463,N
7797,Y
8612,N
219,Y
711,N
6880,N
416,N
2270,N
3339,Y
3731,N
1620,Y
8937,Y
3919,N
6781,N
5502,N
