,inducted
2803,N
88,N
445,N
332,Y
5575,N
7384,N
5508,N
8168,N
6095,N
1849,N
1440,N
4332,N
9023,N
2844,N
8654,N
5956,N
8188,N
5609,N
4559,N
7177,N
3391,N
7698,N
5926,N
4896,N
5265,N
1609,N
8677,N
5607,N
588,N
9069,N
550,N
1365,N
2473,N
2608,N
3324,N
6365,N
1323,N
7750,N
3227,N
8383,N
3583,N
1295,N
302,N
4132,N
4213,N
2108,N
6627,N
1823,N
1144,N
3445,N
2970,N
5906,N
3947,N
4575,N
6294,Y
2682,N
4363,N
6118,N
5387,N
7510,N
6403,N
7760,N
4141,N
4988,N
5710,N
5035,N
819,N
6760,N
719,N
6111,N
2014,N
8619,N
5790,N
8586,N
5547,N
5274,N
2985,N
3177,N
2449,N
3973,N
7134,N
5322,N
183,N
1798,N
8974,N
3482,N
3950,N
9126,N
3284,N
203,N
5343,N
6079,N
1221,N
5704,N
3531,N
329,N
4101,N
6214,N
768,N
884,N
3615,N
8473,N
1956,N
7073,N
5774,N
5062,N
5933,Y
1931,N
4033,N
2182,N
623,N
7389,N
4684,N
7844,N
7943,N
5553,N
6037,N
6238,N
9075,N
5725,N
8438,N
8414,N
57,N
7578,N
722,N
3038,N
4297,N
3751,N
1387,N
1017,N
3908,N
6251,Y
2232,N
7207,N
6805,N
6815,N
1674,N
4245,N
3819,N
6058,N
8614,N
1041,N
4660,N
3219,N
5332,N
4587,N
8594,N
8189,N
2257,N
5766,N
2080,N
6947,N
6841,N
3382,N
3166,N
5699,N
1128,N
5355,Y
4801,N
6878,N
3804,N
795,N
6415,N
8853,Y
2336,N
3021,N
2842,N
5315,N
6667,N
8911,N
1409,N
1180,N
8013,N
2246,N
7586,N
4749,N
2888,N
7189,N
1613,N
3286,N
3303,N
1742,N
6693,N
5277,N
8573,N
1930,N
7766,N
5171,N
1799,N
5712,N
5883,N
8264,N
8797,N
2693,N
6262,N
5067,N
8067,N
5911,N
6002,N
6974,N
7376,N
4143,N
8104,N
1482,N
8226,N
6756,N
1475,N
2263,N
4002,N
5092,N
8847,N
1222,N
7797,Y
8008,N
7313,N
8451,N
8732,N
701,N
5248,N
5403,N
8621,N
5592,N
6266,N
8073,N
2367,N
8212,N
4786,N
1627,N
2012,N
1418,N
6099,N
4639,N
2609,N
9179,N
4726,N
283,N
4827,N
1968,N
2807,N
555,N
1919,N
8900,N
6549,N
7723,Y
4215,N
8348,N
8466,N
5820,N
2376,N
7051,N
8425,Y
1038,N
5236,N
2986,N
8340,N
1720,N
31,N
5057,N
8126,N
5154,N
6198,N
3411,N
7067,N
7519,N
2474,N
9136,N
2737,N
3264,Y
4075,N
8310,N
21,N
970,Y
8316,Y
7404,N
4619,N
6434,N
8559,N
7883,N
9077,N
3485,N
29,N
3620,N
2941,N
1395,N
1862,N
4624,N
211,N
6374,N
3086,N
1503,N
279,N
99,N
5615,N
6937,N
5210,N
1446,N
8242,N
5280,N
4634,N
1282,N
5160,N
4013,N
2869,N
1399,N
4527,N
3436,N
5389,N
3818,N
683,N
8952,N
1520,N
6998,N
6061,N
8164,N
1997,N
883,N
8799,N
6575,N
60,N
7285,N
7112,N
5371,N
697,N
5931,N
148,N
3275,N
8662,N
3765,N
353,N
4536,N
6196,N
3216,N
1345,N
1398,N
3868,N
8782,N
2846,N
4368,N
4892,N
6388,N
4914,N
3373,N
2711,N
5718,N
4343,Y
8862,N
7842,N
8185,N
1068,N
7852,N
7808,N
6807,N
4170,N
5195,N
3172,N
6724,N
1770,N
5878,N
5612,N
5772,N
7444,N
3074,N
8515,N
1698,N
4969,N
3716,N
614,N
3611,N
1268,N
482,N
7249,N
9141,N
2506,N
737,N
2350,N
8203,N
8170,N
8291,N
8907,N
6601,N
4661,N
9044,N
2572,N
2748,N
4891,N
7946,N
7201,N
6927,N
5993,N
7000,N
6870,N
3624,Y
1051,N
6164,N
7632,N
4832,N
1758,N
3629,N
5081,N
3674,N
4782,N
4939,N
130,Y
1630,N
4325,N
8145,N
6803,N
7370,N
2452,N
1469,N
4217,N
1050,N
4800,N
5677,N
3386,N
6655,N
8617,N
5818,N
4541,N
7574,N
944,N
7350,N
8382,N
287,Y
3580,N
9205,N
7153,N
1750,N
4134,N
7670,N
8665,Y
5263,N
7268,N
4320,Y
5078,N
4814,N
2060,N
6084,N
4826,N
8950,N
8375,N
7877,N
3356,N
5238,N
5691,N
3442,N
5009,N
5064,N
6792,N
487,N
1020,N
3552,N
929,N
5385,N
2822,N
207,N
1229,N
245,N
1060,N
7265,N
3578,N
3985,N
497,N
8371,N
8759,N
6015,N
1014,N
488,N
7410,N
3945,N
2892,N
6326,N
1638,N
6686,N
8726,N
8246,N
1640,N
2321,N
3232,N
8686,N
6370,N
8804,N
3186,N
7708,N
177,N
8351,N
811,N
3024,N
3268,N
3027,N
6818,N
1708,N
5801,N
8979,N
8369,N
4542,N
7049,N
7069,N
2562,N
7195,N
8101,N
6495,N
7314,N
8738,Y
1753,N
1189,N
3960,N
2949,Y
1724,N
4509,N
