,inducted
3822,N
3895,N
1137,N
4606,N
7828,Y
3053,N
3593,N
1174,N
3580,N
1925,N
703,N
1998,Y
3020,N
7513,N
476,N
5845,N
5239,Y
5555,N
7270,N
3635,N
2949,Y
8045,N
4666,Y
1675,Y
2181,N
4369,N
881,N
6932,N
2803,N
1881,N
5711,Y
3331,N
314,N
9102,N
4184,N
5255,N
8132,N
4031,N
7585,N
6160,N
7448,N
8752,N
2667,Y
2369,N
7224,N
2647,N
8790,N
7399,Y
1296,N
3876,N
6110,N
213,N
7091,N
8936,N
8946,N
3151,Y
2131,N
5818,N
524,Y
7070,Y
3253,N
3024,N
6004,N
2997,N
8627,N
7875,N
4803,N
6900,N
1169,N
2433,N
219,Y
1053,N
2518,Y
3395,N
2774,N
5944,N
7360,N
1182,N
8635,N
7095,N
8710,N
366,Y
7658,N
9140,N
5865,N
2981,N
681,N
7498,N
5024,N
1759,N
6192,N
4482,N
6027,N
7866,N
928,N
4330,Y
2812,N
6214,N
5659,N
9005,Y
2112,N
8529,N
8985,N
521,N
571,N
4391,N
2808,N
58,N
4342,N
2183,Y
2972,N
2455,N
9136,N
2652,N
7702,Y
8770,N
4632,N
1468,N
8305,N
7216,N
8432,Y
7911,N
3558,N
2665,N
193,N
3696,N
5849,N
8143,N
3480,N
9058,N
6273,N
5788,N
7467,N
1055,N
3525,N
1512,Y
3329,N
2798,Y
7930,N
2395,N
1000,N
3144,N
3667,N
9163,Y
7260,N
5798,Y
915,Y
7797,Y
6294,Y
826,Y
304,N
5297,Y
5578,N
4073,N
1620,Y
3811,N
2671,N
7071,Y
7855,N
8726,N
1048,N
7134,N
773,N
200,N
2740,Y
1624,Y
9050,N
8035,N
3643,N
3825,N
7840,N
6874,N
5253,N
1848,N
9133,N
836,N
6080,N
4612,Y
994,N
6313,N
8937,Y
4356,N
6759,Y
2901,N
7204,Y
5941,N
8316,Y
2269,N
2423,N
6751,N
3676,N
4413,Y
2613,N
5336,Y
79,N
2743,Y
1212,N
1716,N
1548,Y
4041,N
3984,N
1766,N
8655,N
8986,N
2061,N
3661,N
491,N
6617,N
4904,N
5993,N
6564,N
7438,Y
8510,N
2488,N
7040,N
6119,N
1054,N
7321,N
451,N
6916,N
1561,N
4522,N
7374,N
3731,N
4627,N
6577,N
130,Y
3679,N
970,Y
7883,N
6670,N
8426,N
6562,Y
7293,N
3775,N
4350,Y
189,N
4742,N
7422,N
8765,N
6712,N
1065,N
5772,N
5896,N
8186,N
4834,N
3864,Y
2639,N
5333,N
8992,N
7372,N
7732,N
2683,N
8331,Y
898,N
8518,N
3440,N
1396,Y
4343,Y
8696,N
2569,N
1005,N
8602,N
4534,N
7402,N
2121,N
5945,Y
4915,N
762,Y
3650,Y
8870,Y
2083,N
5947,N
419,N
879,N
4096,N
6664,N
6861,Y
5111,N
5179,N
7352,Y
1858,N
6772,Y
6195,N
4653,N
2507,N
3279,N
6138,N
1657,N
7703,N
8274,Y
6328,N
8366,N
8601,N
3220,N
1641,Y
3664,N
1487,N
7957,N
1167,N
4032,N
3461,N
8551,N
6010,N
1028,N
218,Y
2367,N
8532,N
7347,N
791,N
5300,Y
313,N
2359,N
1658,N
1324,N
2986,N
5836,N
5050,N
7895,N
1445,N
5249,N
4804,N
1463,N
4701,N
5344,N
8959,N
8907,N
1645,N
7101,Y
6784,N
5933,Y
8708,N
5007,N
8053,N
3358,Y
2616,N
1268,N
5406,N
7753,N
3294,N
3106,N
8093,N
4562,N
3694,N
916,N
7285,N
6937,N
5190,N
384,N
8684,N
2747,N
8738,Y
4011,N
7301,N
4078,N
4320,Y
339,N
566,N
5951,N
6059,N
2499,N
6565,N
9157,N
2636,Y
4442,N
8729,Y
1540,N
2066,Y
5564,N
1860,N
2792,N
956,N
6021,N
287,Y
1061,N
190,N
