,inducted
3116,N
9101,N
2223,N
8757,N
7556,N
3031,N
8253,N
7191,N
7295,N
6501,N
6813,N
3476,N
16,N
2365,N
894,N
7120,N
1173,N
4112,N
5504,N
2589,Y
7628,N
5755,N
493,N
4504,N
1175,N
2039,N
9023,N
2607,N
3970,N
9016,N
4815,N
5706,N
4484,N
7608,N
5777,N
5933,Y
7246,N
9038,N
9128,N
1243,N
4168,N
5118,N
3797,N
6278,N
7624,N
1403,N
4091,N
4671,N
1301,N
5816,N
5123,N
6220,N
8871,N
8410,N
1733,N
3640,N
2242,N
8590,N
8123,N
6240,N
7979,N
4467,N
3517,N
2410,N
2531,N
4764,N
1851,N
7478,N
9117,N
8985,N
5738,N
6141,N
5596,N
3382,N
374,N
8722,N
4380,N
5300,Y
8480,N
1191,N
2260,N
1987,N
1422,N
6552,N
153,N
2295,N
8012,N
3233,N
4138,N
3055,N
4068,N
663,N
3309,N
998,N
6161,N
3882,N
3710,N
7787,N
3586,N
7214,N
5636,N
1000,N
7983,N
2481,N
5704,N
6670,N
817,N
3174,N
7210,N
7690,N
4445,N
7978,N
1836,N
3401,N
2175,N
3630,N
671,N
7522,N
840,N
2560,N
4259,N
4322,N
7807,N
8500,N
4699,N
2967,N
9157,N
8999,N
7063,N
1295,N
9045,N
1230,N
4200,N
1722,N
5968,N
7113,N
5875,N
1524,N
4458,N
7545,N
6565,N
4545,N
4944,N
3402,N
2988,N
7625,N
487,N
8457,N
7388,N
3643,N
7064,N
6344,N
7049,N
7758,N
838,N
8404,N
4977,N
8868,N
557,N
4010,N
6066,N
2844,N
4706,N
388,N
6903,N
3356,N
6219,N
1911,N
7187,N
8509,N
9123,N
1141,N
4256,N
345,N
8134,N
2472,N
6302,N
3078,N
3368,N
2282,N
2231,N
1925,N
2225,N
8748,N
2926,N
6834,N
7858,N
1731,N
2176,N
6910,N
8045,N
5312,N
2258,N
7780,N
3064,N
2438,N
588,N
7992,N
1625,N
2789,N
5394,N
6315,N
1171,N
1961,N
3602,N
2372,N
762,Y
1398,N
5450,N
2268,N
204,N
3789,N
7902,N
2600,N
3006,N
2740,Y
903,N
7039,N
2118,N
1976,N
4363,N
8619,N
7130,N
934,N
61,N
5026,N
842,N
7802,N
1814,N
