,inducted
4063,N
2598,N
943,N
5871,N
5120,N
8951,N
1971,N
6836,N
5609,N
1986,N
3368,N
3569,N
656,N
4040,N
596,N
595,N
9073,N
3400,N
7626,N
2181,N
5695,Y
5507,N
5680,N
6398,N
6849,N
5612,N
3408,N
6257,N
9146,N
7802,N
4701,N
2720,N
6274,N
272,N
4900,N
4518,N
1969,N
4946,N
399,N
8926,N
3595,N
2723,N
530,N
2654,N
5561,N
4372,N
5908,N
4060,N
8922,N
1240,N
7653,N
8341,N
4821,N
3118,N
5634,N
1603,N
3676,N
2017,N
8194,N
2572,N
1490,N
7119,N
1858,N
3814,N
1088,N
1301,N
6250,N
5983,N
4933,N
657,N
233,N
2946,N
1478,N
989,N
1843,N
3483,N
5777,N
8871,N
4282,N
3264,Y
6069,N
7886,N
9042,N
4400,N
5393,N
3089,N
3983,N
5181,N
4239,N
2876,N
4700,N
3078,N
2062,N
6068,N
8202,N
8745,N
1861,N
4260,N
3593,N
2001,N
8870,Y
1111,N
7262,N
6421,N
2593,N
6412,N
9150,N
3109,N
550,N
7882,N
566,N
9062,N
2142,N
3499,N
5972,N
5005,N
5718,N
5761,N
4825,N
5013,N
5078,N
8087,N
1687,N
6863,N
3949,N
3872,N
3230,N
894,N
6186,N
4713,N
7268,N
863,N
7444,N
7771,N
5319,N
2802,N
1099,N
4283,N
5993,N
2968,N
4600,N
8950,N
2464,N
6197,N
2169,N
200,N
4636,N
536,N
7908,N
8177,N
8525,N
8279,N
77,N
8117,N
5140,N
1589,N
3795,N
7013,N
919,Y
119,N
3578,N
8353,N
9114,N
9127,N
5100,N
9112,N
2458,N
2637,N
655,N
295,N
8928,N
8503,N
5770,N
5067,N
3547,N
1920,N
7445,N
806,N
3453,N
6499,N
2698,N
7692,N
1961,N
6827,N
2127,N
5405,N
1907,N
2466,N
1494,N
529,N
7281,N
3096,N
4386,N
433,N
6585,N
8116,N
6392,N
2311,N
2051,N
8850,N
5366,N
189,N
2232,N
3195,N
73,N
7466,N
4029,N
1270,N
7766,N
8456,N
4527,N
317,N
5860,N
5157,N
5893,N
6869,N
4107,Y
1230,N
5631,N
4824,N
8444,N
2546,N
5863,N
4526,N
3938,N
5754,N
6534,N
4333,N
1361,N
5479,N
7586,N
3673,N
1777,N
4789,N
4736,N
3248,N
3224,N
1634,N
6034,N
4814,N
2175,N
8408,N
8670,N
3017,N
3608,N
8437,N
2422,N
4099,N
7319,N
6719,N
3887,N
3624,Y
3818,N
7449,N
1578,N
5274,N
6508,N
