,inducted
4352,N
5496,N
4850,N
8425,Y
5031,N
507,N
3426,N
7959,Y
3817,N
362,N
2150,N
8778,N
6912,N
255,Y
7466,N
7723,Y
5997,N
7158,N
8026,N
342,N
517,N
6428,N
7892,N
8074,N
144,N
4065,N
4904,N
7933,N
2645,N
1140,N
2096,N
4235,N
1013,N
5784,N
6588,N
6708,N
2824,N
586,N
6384,N
1429,N
6505,N
3169,N
4586,N
4417,N
4578,N
7095,N
1325,N
6355,N
280,N
5743,N
7018,N
2906,N
3017,N
1123,N
2149,N
4320,Y
7183,N
3599,N
6539,N
4157,N
2170,N
3735,N
2567,N
4639,N
8235,N
6759,Y
8593,N
984,N
1578,N
2786,N
6381,N
2865,N
2075,N
4715,N
5964,N
6217,N
4293,N
8948,N
6486,Y
3003,N
7597,N
7642,N
5199,N
2227,N
3697,N
2333,N
3392,N
5009,N
7045,N
4253,N
7979,N
1403,N
823,N
283,N
7452,N
6618,N
5952,N
9097,N
3388,N
2877,N
7903,N
4707,N
7921,N
5806,N
4220,N
7999,N
1867,N
4369,N
8961,N
2721,N
7866,N
6368,N
8975,N
963,N
3098,N
28,N
4222,N
6847,N
1794,N
4870,N
9018,N
8900,N
7325,N
3102,N
6776,N
3476,N
3870,N
5862,N
5494,N
147,N
1074,N
4037,N
7645,N
193,N
4487,N
850,N
6269,N
4563,N
3191,N
1335,N
6530,N
6693,N
7496,N
2959,N
8932,N
1032,N
3336,N
1917,N
3252,N
2748,N
5086,N
2471,N
6463,N
6933,N
2117,N
5680,N
6417,N
8344,N
7375,N
8572,N
4153,N
5918,N
5711,Y
6141,N
6294,Y
7233,N
4982,N
621,N
1193,N
5399,N
2975,N
5069,N
1423,N
3526,N
3819,N
1615,N
7712,N
381,N
1639,N
5102,N
3807,N
2055,N
5193,N
6005,N
1273,N
8543,N
943,N
6390,N
6518,N
8686,N
617,N
3333,N
6156,N
4537,N
3347,N
8581,N
424,N
294,N
5285,N
1309,N
3179,N
5475,N
1710,N
8188,N
2897,N
4841,N
783,N
673,N
2183,Y
7305,N
7129,N
619,N
5593,N
8701,N
4388,N
5335,N
7825,N
6273,N
3510,N
8483,N
3646,N
2856,N
6253,N
1990,N
558,N
1605,N
572,N
5334,N
2109,N
2222,N
3479,N
8608,N
1960,N
5682,N
6733,N
8851,N
7702,Y
6949,N
9026,N
4803,N
8645,N
4016,N
6347,N
5205,N
5642,N
3875,N
6643,N
7275,N
7994,N
6276,N
1458,N
2712,N
2148,N
604,N
79,N
4815,N
3227,N
1293,N
5164,N
1585,N
8885,N
7626,N
5511,Y
2017,N
1895,N
5590,N
3251,N
2775,N
5103,N
3170,N
5955,N
3223,N
4747,N
6396,N
2190,N
8739,N
4802,N
333,N
120,N
8027,N
3064,N
8896,N
334,N
5114,N
2653,N
6919,N
5204,N
7226,N
3577,N
8112,N
6867,N
5147,N
3409,N
1385,N
5553,N
3999,N
412,N
2210,N
8641,N
96,N
5563,N
7074,N
278,N
1025,Y
5092,N
3137,N
7834,N
3837,N
6168,N
3123,N
6414,N
8635,N
7260,N
5393,N
3895,N
6214,N
459,N
8508,N
129,N
1789,N
3477,N
8000,N
2480,N
2904,N
5883,N
2715,N
989,N
4543,N
3400,N
8422,N
1167,N
3383,N
3050,N
2076,N
5278,N
2310,N
5678,N
4641,N
3263,N
796,N
6580,N
8057,N
5907,N
6921,N
2867,N
4482,N
9181,N
9025,N
5016,N
5443,N
8316,Y
7526,N
3397,N
2804,N
6500,N
6607,N
2526,N
2445,N
2684,N
4892,N
3842,N
2090,N
3327,N
8169,N
1055,N
8886,N
4801,N
1396,Y
971,N
158,N
9085,N
4082,N
8089,N
6320,N
2447,N
6553,N
1788,N
6666,N
7070,Y
6895,N
7166,N
6454,N
1489,N
5908,N
5296,N
4832,N
1294,N
4350,Y
4753,N
6611,N
1902,N
7066,N
6859,N
1211,N
5275,N
8544,N
8174,N
4193,N
7630,N
6724,N
8941,N
8545,N
4705,N
2592,N
2254,N
8110,N
3756,N
2159,N
2034,N
1649,N
668,N
5619,N
2822,N
4477,N
3067,N
3606,N
5239,Y
4312,N
4345,N
8688,N
6260,N
8845,N
7215,N
8901,N
1651,N
8824,N
8210,N
947,N
5366,N
9088,N
5643,N
5688,N
8249,N
3105,N
2730,N
2128,N
8463,N
3318,N
2336,N
3340,N
2879,N
8121,N
259,N
6546,N
2501,N
8346,N
1855,N
4107,Y
8434,N
5797,N
5136,N
2535,N
4163,N
8611,N
8062,N
6379,N
7242,N
4878,N
1511,N
8496,N
1051,N
3257,N
4364,N
4098,N
6373,N
6995,N
3880,N
5525,N
3436,N
5395,N
8596,N
2796,N
6637,N
1020,N
6422,N
8552,N
849,N
1622,N
7910,N
1398,N
2325,N
176,N
3474,N
6838,N
6165,N
1088,N
4169,N
8058,N
8014,N
290,N
2024,N
5446,N
1874,N
7139,N
766,N
2558,N
7013,N
3146,N
8049,N
6330,N
3275,N
7827,N
6877,N
4391,N
8711,N
3520,N
321,N
7831,N
5810,N
1246,N
5348,N
8206,N
1890,N
1640,N
7296,N
3560,N
2230,N
1620,Y
5397,N
5255,N
3712,N
5660,N
2643,N
112,N
4211,N
3442,N
2688,N
6985,N
5820,N
7001,Y
2439,N
5768,N
16,N
504,N
8362,Y
5757,N
8035,N
1044,N
5240,N
8378,N
5307,N
6238,N
6249,N
915,Y
4635,N
2114,N
5799,N
7884,N
2196,N
1512,Y
8370,N
4023,N
8559,N
3472,N
919,Y
6929,N
6034,N
7302,N
3262,N
7823,N
7408,N
4670,N
1291,N
2296,N
5934,N
2219,N
3121,N
2269,N
3805,N
4497,N
1636,N
3871,N
698,N
817,N
4558,N
4978,N
6980,N
9133,N
2467,N
8708,N
6878,N
2392,N
880,N
7289,N
8836,N
7936,N
5233,N
9072,N
6266,N
1898,N
3541,N
1242,N
5818,N
3581,N
8020,N
3843,N
5744,N
7422,N
6911,N
2537,N
5441,N
2242,N
5331,N
2199,Y
1584,N
7417,N
5076,N
1900,N
8300,N
8787,N
1811,N
1838,N
4642,N
5752,N
3859,N
911,N
6389,N
6788,N
2237,N
470,N
898,N
5354,N
6435,N
805,N
472,N
6004,N
5943,N
8954,N
6407,N
8930,N
1606,N
6197,N
3353,N
2809,N
428,N
130,Y
6821,N
574,Y
9199,N
3209,N
2,N
9090,N
143,N
6610,N
4010,N
1996,N
7356,N
93,N
6067,N
7858,N
8970,N
4266,N
1179,N
1459,N
5297,Y
5537,N
5052,N
6722,N
2808,N
1662,N
9011,N
4513,N
3621,N
5295,N
7603,N
2284,N
4900,N
4947,N
2473,N
983,N
7483,N
1417,N
8437,N
2571,N
3639,N
3297,N
6017,N
4188,N
390,N
564,N
2950,N
4529,N
6792,N
879,N
826,Y
2608,N
8504,N
3980,N
6061,N
4034,N
2967,N
3611,N
2530,N
603,N
7848,N
545,N
4969,N
6442,N
5802,N
7351,N
5027,N
9187,N
734,N
3654,N
8878,N
5372,N
7588,N
643,N
6050,N
1105,N
8495,N
1713,N
8166,N
2547,N
3512,N
8946,N
4965,N
3583,N
3753,N
5237,N
2990,N
431,N
2366,N
6961,N
6399,N
7498,N
2379,N
5466,N
8891,N
7358,N
4692,N
4422,Y
5175,N
4377,N
7685,N
3276,N
5993,N
7068,N
6064,N
4628,N
6234,N
8993,N
