,inducted
2745,N
4652,N
2354,N
1203,N
7791,N
6478,N
9027,Y
7982,N
6909,N
6145,N
9163,Y
3472,N
1848,N
2292,N
620,N
3731,N
5420,N
549,N
8420,N
135,N
7014,N
5140,N
6545,N
6173,N
5891,N
2814,N
3241,N
1103,N
3586,N
7933,N
131,N
7507,N
373,N
6522,N
7896,N
363,N
8579,Y
1515,N
281,N
5618,N
3534,N
6917,N
3384,N
366,Y
3687,N
8665,Y
234,N
8035,N
8190,N
7301,N
5910,N
3395,N
1798,N
1872,N
2957,N
6302,N
1769,N
1870,N
7520,N
1772,N
2577,N
1992,N
2792,N
3536,N
831,Y
5652,N
361,Y
1509,N
4335,Y
7101,Y
8257,N
4092,N
1675,Y
7819,N
7838,N
4538,N
8905,N
4641,N
4275,N
3407,N
4613,N
4144,N
1950,N
4201,Y
6955,N
1271,N
5484,N
3774,N
696,N
4848,N
2593,N
5336,Y
130,Y
2703,N
977,N
559,N
5691,N
2262,N
7848,N
7402,N
1998,Y
3085,N
3165,Y
5778,N
136,N
1975,N
2289,N
219,Y
627,Y
2167,N
6084,N
8645,N
2550,N
6193,N
8425,Y
2569,N
440,N
5496,N
2237,N
4838,Y
1610,N
4729,N
2834,N
7797,Y
2435,N
7542,Y
3791,N
660,N
7898,N
7483,N
2592,N
6874,N
8250,N
5598,N
6816,N
1301,N
1436,N
7713,N
4372,N
4478,N
2098,N
6947,N
3477,N
7095,N
4692,N
1005,N
7702,Y
1409,N
64,N
7378,N
7048,N
5193,N
9040,N
8699,N
829,N
1227,Y
7619,N
6828,N
8274,Y
3771,N
8673,N
6122,N
6945,N
1933,N
8188,N
4576,N
1916,Y
4919,N
6882,N
7928,N
1035,N
4846,N
5135,Y
554,N
5039,N
1279,N
688,N
5941,N
3294,N
5710,N
9052,N
6372,N
6910,N
4158,N
4221,N
4468,N
5711,Y
1512,Y
3803,N
4238,N
9193,N
8729,Y
5214,N
6374,N
2780,N
7715,N
2815,N
7389,N
2639,N
