,inducted
5659,N
3164,N
7535,N
1396,Y
4838,Y
2780,N
4222,N
4472,N
2104,N
7261,N
9057,N
7439,N
1000,N
8937,Y
7840,N
8100,N
7702,Y
7855,N
2665,N
7831,N
2285,N
212,Y
3253,N
2262,N
1791,N
8919,N
3369,N
7344,N
3037,N
1863,N
6361,N
7399,Y
6852,N
8432,Y
7185,N
7101,Y
6085,N
8311,N
642,N
7293,N
540,N
8730,Y
1730,N
6251,Y
7854,N
3856,N
7542,Y
2013,N
2119,N
5778,N
8205,N
7775,N
6054,N
4422,Y
7549,N
2830,N
5576,N
7015,N
5303,N
7706,N
6683,N
6160,N
1624,Y
2751,N
2623,N
4958,N
2117,N
7910,N
6486,Y
8045,N
8985,N
1046,N
5135,Y
6261,N
6794,N
2379,N
7761,N
5996,N
2158,Y
4612,Y
1736,N
3365,N
712,N
6334,N
5746,N
1939,N
8264,N
3449,N
492,N
4706,N
9186,N
217,N
4869,N
3220,N
3182,N
8551,N
6015,N
6004,N
7856,N
9027,Y
7973,N
1605,N
4895,Y
1257,N
8025,N
7829,N
8986,N
8092,N
6073,N
7216,N
7933,N
6651,N
4991,N
7190,N
4793,N
4506,N
3118,N
8885,N
7487,N
4367,N
4326,N
6717,N
4275,N
57,N
5013,N
3280,N
5292,N
5124,Y
8897,N
2370,N
3624,Y
6724,N
1620,Y
627,Y
4597,N
6955,N
287,Y
8316,Y
7875,N
798,N
991,N
9163,Y
5845,N
7753,N
2715,N
7906,N
6010,N
3153,N
5295,N
8469,N
7658,N
4201,Y
5293,N
3650,Y
1604,N
6049,N
6935,N
1576,Y
2774,N
7723,Y
130,Y
8357,N
7457,N
3980,N
2364,N
8371,N
7024,Y
9100,N
6438,N
3862,N
8561,N
391,N
1594,N
1795,N
6917,N
2636,Y
8579,Y
2491,N
3305,N
5834,N
1170,N
7671,Y
5993,N
2518,Y
4058,Y
3866,N
8976,Y
7204,Y
762,Y
1219,N
2203,Y
726,N
4456,Y
5674,N
3768,N
4074,N
8425,Y
470,N
8054,N
290,N
451,N
3661,N
889,N
5962,N
6900,N
4763,N
2593,N
5801,N
2409,N
370,N
2649,N
464,N
4236,N
6649,N
3585,N
6759,Y
1998,Y
2589,Y
5511,Y
4893,N
5719,N
6459,N
8065,N
893,N
491,N
6320,N
1180,N
423,N
6503,N
1061,N
7732,N
3406,Y
1934,N
8846,N
8547,N
7959,Y
7490,N
5239,Y
8338,N
1224,N
1823,N
8798,N
8992,N
7346,N
3941,N
2028,Y
7619,N
2548,N
6035,N
2671,N
8527,N
5111,N
4193,N
4664,N
7838,N
7037,N
2500,N
6122,N
3121,N
5342,N
3824,N
4155,N
8516,N
8871,N
7196,N
8184,N
6289,N
1563,N
1200,N
8949,N
6084,N
5798,Y
8500,N
6156,N
3719,N
881,N
3483,N
7873,N
4335,Y
7014,N
1809,N
2502,N
4637,N
3308,N
5818,N
8408,N
2250,N
8691,N
7704,N
1320,Y
2361,N
1537,N
8913,N
8829,N
8080,N
8758,N
3260,N
255,Y
1675,Y
917,N
6308,N
7069,N
4138,N
9162,N
3273,N
4375,N
1568,N
6168,N
8471,N
6536,N
7250,Y
574,Y
8285,N
6828,N
5279,N
1704,N
994,N
2720,N
5548,N
5695,Y
17,N
7194,N
3623,N
2812,N
7301,N
7048,N
4343,Y
8565,N
133,N
7887,Y
7974,N
7374,N
5194,N
7242,N
4285,Y
