,inducted
2482,N
4895,Y
8956,N
1998,Y
5124,Y
1946,N
8276,N
5632,N
7528,N
3580,N
9161,N
4119,N
4741,N
8885,N
5135,Y
1939,N
2740,Y
34,N
3027,N
7840,N
7315,N
3284,N
3478,N
7753,N
8267,N
2972,N
1475,N
1086,N
866,N
6447,N
2801,N
8188,N
2535,N
3099,N
416,N
6854,N
618,N
8327,N
366,Y
6486,Y
8903,N
3406,Y
8606,N
5048,N
4901,N
8804,N
5239,Y
2623,N
5583,N
915,Y
3848,Y
2326,N
2949,Y
2743,Y
645,N
7444,N
2459,N
8411,N
8497,N
2413,N
7301,N
552,N
1625,N
5896,N
4869,N
2951,N
8867,N
2325,N
9183,N
3461,N
8907,N
3890,N
4669,N
6313,N
8324,N
1296,N
2013,N
1297,N
762,Y
8992,N
6332,N
2460,N
4705,N
2714,N
6424,N
4666,Y
6619,N
5909,N
3775,N
130,Y
5750,N
3696,N
5336,Y
7562,N
7211,N
434,N
8833,N
6085,N
7856,N
3477,N
3151,Y
2587,N
7045,N
8488,N
4472,N
5808,N
839,N
1276,Y
3498,N
83,N
9150,N
3096,N
3184,N
3588,N
6472,N
2309,Y
4005,N
3377,N
7592,N
4107,Y
2436,N
136,N
6625,N
4487,N
6642,N
5914,N
6950,Y
6393,N
2767,N
2414,N
4516,N
2409,N
8627,N
5723,N
312,Y
1396,Y
5286,N
7929,N
522,N
4375,N
6759,Y
8279,N
4313,N
8864,N
1620,Y
370,N
3529,N
8554,N
2931,N
1039,N
934,N
985,N
3165,Y
1710,N
218,Y
778,N
6192,N
748,N
3770,N
8897,N
8332,N
8169,N
5864,N
1449,N
1005,N
4838,Y
8357,N
5775,N
7058,Y
7848,N
572,N
5933,Y
3811,N
2455,N
7346,N
2532,N
7204,Y
7270,N
6651,N
2361,N
4943,N
3326,N
4450,N
3106,N
3150,N
9007,N
5699,N
1218,N
6661,N
2148,N
4919,N
4576,N
8465,N
2589,Y
1548,Y
5322,N
6828,N
7443,Y
9141,N
5941,N
6609,N
627,Y
881,N
4320,Y
4422,Y
2441,N
2999,N
2829,N
694,N
5757,N
2370,N
7345,N
4554,N
3911,N
8968,N
4058,Y
6868,N
219,Y
3590,N
952,Y
4988,N
7399,Y
3990,N
4562,N
7542,Y
5334,N
3559,N
3447,N
4947,N
2066,Y
8710,N
8770,N
1641,Y
2450,N
1854,N
826,Y
1970,N
17,N
3624,Y
2520,Y
5427,N
2798,Y
3281,N
8,N
0,Y
4139,N
8738,Y
5355,Y
1957,N
5360,N
1222,N
7282,N
8061,N
3178,N
2473,N
8985,N
8783,N
5790,N
524,Y
667,Y
5297,Y
6209,N
2171,N
2253,N
6452,N
8059,N
1837,Y
7983,N
8435,N
1572,Y
9076,N
6200,N
3545,N
8432,Y
1002,N
8836,N
6740,N
4391,N
5779,N
1373,N
7360,N
393,N
2871,N
4675,N
1890,N
4100,N
8481,N
4285,Y
1383,N
4585,N
8477,N
2887,N
4350,Y
834,N
5049,N
2384,N
4610,N
8682,N
6632,N
1375,N
5945,Y
3416,N
2429,N
7775,N
1933,N
6122,N
1274,Y
3098,N
167,N
8186,N
3764,N
4051,Y
4174,N
8406,N
7231,N
3043,N
4343,Y
4712,Y
3286,N
7117,N
8331,Y
7440,N
6694,N
9140,N
2203,Y
679,N
7260,N
5846,N
3253,N
547,N
3704,N
2494,N
2215,N
231,N
8612,N
5881,N
1353,N
1576,Y
2618,N
8976,Y
8289,N
3831,N
3494,N
9157,N
2822,N
6134,N
710,N
3612,N
2679,N
5097,N
5007,N
1941,N
4084,N
9032,N
2367,N
9052,N
5461,N
7168,N
5996,N
2028,Y
1629,N
3471,N
5383,N
3873,N
5344,N
4087,N
6520,N
7422,N
8316,Y
3987,N
885,N
7329,N
3329,N
4803,N
1176,N
1509,N
3411,N
5824,N
4189,N
8546,N
3053,N
1619,N
3265,N
9081,N
4515,N
1975,N
8584,N
6591,N
6458,N
3276,N
3895,N
3966,N
3324,N
4201,Y
8579,Y
4078,N
9005,Y
1993,N
2963,N
6700,N
7805,N
2488,N
3358,Y
2051,N
3475,N
8178,N
1682,N
3255,N
451,N
3515,Y
4978,N
8835,N
7159,N
8369,N
5365,N
8070,N
5490,Y
5556,N
2292,N
785,N
7671,Y
5524,N
8395,N
3269,N
2117,N
8756,N
3466,N
5856,N
6456,N
1485,N
6438,N
7438,Y
6139,N
1400,N
1108,N
574,Y
3254,N
5650,N
1209,N
1512,Y
6341,N
7970,N
4872,N
1126,N
6718,N
8532,N
9064,N
8082,N
8318,N
