,inducted
8900,N
3864,Y
8592,N
7818,N
1031,N
7722,N
6944,N
574,Y
1494,N
4850,N
8346,N
2862,N
6833,N
3674,N
3514,N
1005,N
6787,N
1513,N
8934,N
6230,N
4976,N
1140,N
4701,N
4702,N
8038,N
5313,N
2948,Y
1804,N
7760,N
8339,N
4865,N
7447,N
772,N
1136,N
5012,N
2073,N
6706,N
8927,N
6606,N
3672,N
3780,N
1990,N
8206,N
3983,N
3285,N
7751,N
2900,N
5703,N
2926,N
2378,N
6030,N
1578,N
4486,N
5331,N
5663,N
4799,N
5205,N
5948,N
6689,N
2824,N
5705,N
5719,N
2241,N
6623,N
5541,N
7943,N
7608,N
5476,N
3147,N
4575,N
7866,N
3885,N
7832,N
1947,N
1962,N
3018,N
3250,N
3362,N
4106,N
9029,N
88,N
7838,N
683,N
8104,N
3539,N
2852,N
5162,N
3586,N
3165,Y
7736,N
4800,N
3201,N
4606,N
3207,N
4586,N
4279,N
2639,N
1491,N
8523,N
4147,N
4755,N
2968,N
330,N
1932,N
2833,N
3650,Y
7896,N
8302,N
1192,N
4359,N
3440,N
7003,N
2657,N
9000,N
6088,N
6121,N
2508,N
620,N
1641,Y
3418,N
7224,N
8643,N
5748,N
6637,N
2895,N
3080,N
3767,N
6978,N
2628,N
860,N
3581,N
6643,N
2521,N
3187,N
4567,N
6805,N
5671,N
5515,N
75,N
5569,N
5158,N
1695,N
2621,N
4008,N
6720,N
2853,N
1864,N
1309,N
3447,N
7370,N
5084,N
8425,Y
3088,N
5649,N
6091,N
4909,N
1057,N
96,N
1282,N
6369,N
4386,N
8122,N
7755,N
5992,N
5440,N
51,N
5283,N
6017,N
3827,N
6861,Y
8354,N
4498,N
7506,N
3084,N
6849,N
189,N
269,N
8374,N
2272,N
8025,N
4647,N
7756,N
6324,N
4822,N
58,N
5540,N
5322,N
137,N
70,N
7349,N
31,N
7865,N
8586,N
1354,N
468,N
5987,N
2990,N
3587,N
6565,N
560,N
8361,N
8660,N
5219,N
5126,N
3689,N
5994,N
6932,N
8109,N
881,N
4275,N
1780,N
2147,N
742,N
7816,N
4613,N
5129,Y
4178,N
5256,N
2582,N
2670,N
7609,N
1598,N
243,N
8677,N
7662,N
5122,N
1355,N
279,N
4123,N
5909,N
5511,Y
8236,N
4424,N
4015,N
3904,N
8741,N
2083,N
865,N
7598,N
5251,N
3396,N
6105,N
568,N
8524,N
2552,N
6866,N
191,N
1624,Y
8087,N
3998,N
5609,N
1869,N
4778,N
7396,N
5585,N
5381,N
8734,N
4136,N
8068,N
158,N
4957,N
592,N
2315,N
7717,N
7092,N
271,N
1801,N
3443,N
4066,N
8165,N
3553,N
3351,N
553,N
7217,N
8438,N
5974,N
4446,N
7887,Y
6589,N
2830,N
6410,N
4025,N
7292,N
7042,N
1953,N
3878,N
2472,N
8611,N
3059,N
5575,N
999,N
6749,N
2898,N
7242,N
426,N
2686,N
7420,N
1330,N
6642,N
8220,N
7362,N
2280,N
7973,N
4001,N
4477,N
2226,N
4664,N
7512,N
2427,N
7100,N
520,N
4758,N
6273,N
2446,N
914,N
4733,N
6953,N
50,N
2451,N
4267,N
4200,N
412,N
3010,N
5631,N
5789,N
9058,N
8331,Y
2417,N
7022,N
4216,N
6704,N
2888,N
1980,N
3288,N
883,N
6068,N
3652,N
1418,N
3393,N
1227,Y
737,N
5305,N
546,N
8919,N
7933,N
5554,N
4056,N
5945,Y
164,N
362,N
5621,N
6739,N
1274,Y
4305,N
5274,N
8184,N
3899,N
3620,N
3232,N
4357,N
8894,N
1250,N
4469,N
6900,N
1347,N
8308,N
3948,N
2782,N
1846,N
8294,N
4422,Y
6104,N
6488,N
2517,N
144,N
3515,Y
5000,N
8576,N
741,N
1882,N
757,N
5441,N
6931,N
4459,N
485,N
502,N
40,N
7794,N
5530,N
5159,N
4837,N
5254,N
5125,N
8168,N
5739,N
2893,N
790,N
7745,N
7967,N
6822,N
13,N
7199,N
1163,N
6078,N
3333,N
3856,N
8163,N
1379,N
6800,N
5855,N
7083,N
6422,N
8545,N
4535,N
8965,N
2383,N
